artist_name,track_name,album_name,is_explicit,genres,release_date,track_id,danceability,valence,energy,loudness,acousticness,instrumentalness,liveness,speechiness,key,tempo,mode,duration_ms,time_signature
Beyoncé,BLACK PARADE,The Lion King: The Gift [Deluxe Edition],True,"pop, r&b",2020-07-31,1TeDbA2Hfy14sEjoUvZ8Pa,0.824,0.0611,0.555,-5.817,0.00337,6.42e-06,0.217,0.05,1,120.002,1,281273,4
Beyoncé,BIGGER,The Lion King: The Gift,False,"pop, r&b",2019-07-19,4R2KJOgEUP2qO3re9BwIhs,0.484,0.201,0.363,-8.094,0.645,0.0,0.125,0.0368,5,127.822,0,226479,4
Beyoncé,FIND YOUR WAY BACK,The Lion King: The Gift,False,"pop, r&b",2019-07-19,65kk9CAAqFI3LWBEhUwVqd,0.672,0.642,0.696,-6.693,0.2,0.0275,0.0736,0.177,4,118.742,0,162354,4
"Beyoncé, Kendrick Lamar",NILE,The Lion King: The Gift,False,"pop, r&b",2019-07-19,0lboDHM9hSR5j5CFlWDR9k,0.484,0.342,0.457,-9.458,0.738,0.0,0.536,0.204,8,83.493,0,107205,4
"Beyoncé, JAY-Z, Childish Gambino, Oumou Sangaré",MOOD 4 EVA (feat. Oumou Sangaré),The Lion King: The Gift,False,"pop, r&b",2019-07-19,7oqftogUN82Q7VNy2TmTJW,0.608,0.709,0.709,-6.175,0.119,0.0,0.337,0.374,7,105.742,1,272069,4
"Beyoncé, Shatta Wale, Major Lazer",ALREADY,The Lion King: The Gift,False,"pop, r&b",2019-07-19,6tgEc2O1uFHcZDKPoo6PC8,0.647,0.548,0.732,-5.846,0.0846,0.0,0.597,0.0891,2,67.295,1,222529,3
Beyoncé,OTHERSIDE,The Lion King: The Gift,False,"pop, r&b",2019-07-19,1nywz2hyM3E46PxLgscU9j,0.258,0.369,0.248,-9.507,0.944,0.00365,0.0967,0.0343,3,80.187,1,219992,5
Beyoncé,"SPIRIT - From Disney's ""The Lion King""",The Lion King: The Gift,False,"pop, r&b",2019-07-19,6ucmgsair6pvRYfwgvI6e0,0.238,0.0447,0.435,-8.096,0.00956,0.0,0.0981,0.0497,5,78.797,1,277030,4
Beyoncé,Welcome - Homecoming Live,HOMECOMING: THE LIVE ALBUM,False,"pop, r&b",2019-04-17,7Hz87DF2VCuSVS2iO1z0Nr,0.6,0.123,0.831,-12.294,0.143,0.576,0.7,0.378,7,170.133,1,196474,4
Beyoncé,Crazy In Love - Homecoming Live,HOMECOMING: THE LIVE ALBUM,True,"pop, r&b",2019-04-17,10OaEuICuFoKLq48NoMblA,0.401,0.402,0.769,-8.316,0.000263,0.000459,0.327,0.158,2,99.252,1,167348,4
Beyoncé,Freedom - Homecoming Live,HOMECOMING: THE LIVE ALBUM,False,"pop, r&b",2019-04-17,2NTp1e0sRMHiw368rfCGvE,0.486,0.403,0.813,-7.528,0.00174,1.09e-05,0.406,0.114,2,85.161,1,114370,4
Beyoncé,Lift Ev'ry Voice and Sing - Homecoming Live,HOMECOMING: THE LIVE ALBUM,False,"pop, r&b",2019-04-17,0QRxJvOohS8yiGC1n98uFM,0.201,0.0795,0.409,-13.089,0.124,1.86e-06,0.683,0.0393,2,85.35,1,129117,3
Beyoncé,Formation - Homecoming Live,HOMECOMING: THE LIVE ALBUM,True,"pop, r&b",2019-04-17,6oHexA34fw1WfswjIEA1hd,0.676,0.419,0.871,-9.134,0.0237,0.0,0.956,0.433,5,121.963,0,262832,4
Beyoncé,So Much Damn Swag - Interlude - Homecoming Live,HOMECOMING: THE LIVE ALBUM,True,"pop, r&b",2019-04-17,6pLlQE4Ypn9zQBCe16UskF,0.535,0.547,0.338,-27.432,0.994,0.011,0.891,0.883,6,67.709,1,59056,5
Beyoncé,Sorry - Homecoming Live,HOMECOMING: THE LIVE ALBUM,True,"pop, r&b",2019-04-17,1GWk2MHsycvbyOFaWFiOMk,0.418,0.193,0.728,-11.479,0.00981,0.0,0.966,0.486,7,129.252,1,393524,4
Beyoncé,Kitty Kat - Homecoming Live,HOMECOMING: THE LIVE ALBUM,False,"pop, r&b",2019-04-17,6YyMbzAUPJLaGcldbEKmXB,0.456,0.488,0.551,-15.779,0.257,1.14e-06,0.73,0.465,5,123.714,1,42306,4
Beyoncé,Bow Down - Homecoming Live,HOMECOMING: THE LIVE ALBUM,True,"pop, r&b",2019-04-17,5yZEkyUXbyFCHzrQTH5Ssw,0.395,0.377,0.866,-7.544,0.0332,0.0,0.432,0.128,1,141.577,1,87887,4
Beyoncé,I Been On - Homecoming Live,HOMECOMING: THE LIVE ALBUM,True,"pop, r&b",2019-04-17,76raxY6tmyR6mi9xcWCFk7,0.555,0.14,0.676,-11.151,0.018,0.0463,0.721,0.0763,1,95.174,1,160089,4
Beyoncé,Drunk in Love - Homecoming Live,HOMECOMING: THE LIVE ALBUM,True,"pop, r&b",2019-04-17,4LzdggfUuKAK5zypoKnueZ,0.325,0.571,0.836,-8.933,0.0197,8.22e-06,0.33,0.283,5,141.306,0,254004,4
Beyoncé,Diva - Homecoming Live,HOMECOMING: THE LIVE ALBUM,True,"pop, r&b",2019-04-17,7eOG24Nx7j4nI3f9nOZTOi,0.576,0.486,0.845,-7.406,0.0276,0.00029,0.387,0.162,9,145.918,1,165873,4
Beyoncé,Flawless / Feeling Myself - Homecoming Live,HOMECOMING: THE LIVE ALBUM,True,"pop, r&b",2019-04-17,6ma6Oe9PrzJsckdCebJoFM,0.58,0.444,0.764,-9.321,0.079,2.1e-06,0.776,0.221,8,137.068,1,238294,4
Beyoncé,Top Off - Homecoming Live,HOMECOMING: THE LIVE ALBUM,True,"pop, r&b",2019-04-17,6GuC3CHgZ9ieTQ97kanZdO,0.599,0.537,0.692,-9.48,0.0298,0.0,0.69,0.224,9,129.816,1,82934,4
Beyoncé,7/11 - Homecoming Live,HOMECOMING: THE LIVE ALBUM,True,"pop, r&b",2019-04-17,09B7V52vjEWVsSr5f1OfoL,0.587,0.383,0.732,-9.208,0.0158,0.0,0.969,0.18,9,136.084,0,184295,4
Beyoncé,Bug A Boo Roll Call - Interlude - Homecoming Live,HOMECOMING: THE LIVE ALBUM,False,"pop, r&b",2019-04-17,4SOMdd14MtsvtfzsYtmqcR,0.726,0.436,0.255,-18.138,0.129,1.74e-05,0.0747,0.653,11,90.056,1,117936,4
Beyoncé,Party - Homecoming Live,HOMECOMING: THE LIVE ALBUM,False,"pop, r&b",2019-04-17,3oDyaLtPpORasVR7atUHIa,0.581,0.384,0.618,-11.11,0.0138,0.147,0.428,0.339,4,149.832,0,228208,4
Beyoncé,Don't Hurt Yourself - Homecoming Live,HOMECOMING: THE LIVE ALBUM,True,"pop, r&b",2019-04-17,2NbffhNltorifsuY5doB1l,0.384,0.111,0.81,-8.709,0.000959,1.07e-05,0.537,0.124,4,137.696,0,256813,4
Beyoncé,I Care - Homecoming Live,HOMECOMING: THE LIVE ALBUM,False,"pop, r&b",2019-04-17,62vR9bMq3tP0lfyrMtpujE,0.443,0.184,0.821,-6.96,0.0143,0.0,0.721,0.145,4,88.726,0,248538,4
Beyoncé,Partition - Homecoming Live,HOMECOMING: THE LIVE ALBUM,True,"pop, r&b",2019-04-17,1XTQkWboabpxxyR7iMKsEJ,0.452,0.104,0.487,-11.767,0.0101,0.0039,0.698,0.0462,0,123.44,1,138526,5
Beyoncé,Yoncé - Homecoming Live,HOMECOMING: THE LIVE ALBUM,False,"pop, r&b",2019-04-17,6UjGaeKbCidE98bpLgwIym,0.685,0.436,0.628,-12.981,0.0649,0.0,0.31,0.325,9,88.007,0,68352,4
"Beyoncé, J Balvin, Willy William",Mi Gente - Homecoming Live,HOMECOMING: THE LIVE ALBUM,False,"pop, r&b",2019-04-17,2iGIBnofyVatf7cjtyIGlI,0.667,0.637,0.741,-10.832,0.00232,1.49e-06,0.426,0.0547,7,104.841,1,176718,4
Beyoncé,Baby Boy - Homecoming Live,HOMECOMING: THE LIVE ALBUM,False,"pop, r&b",2019-04-17,06iMNM7Q9kX93yBKXb7K8H,0.702,0.694,0.817,-8.644,0.00646,0.0,0.467,0.102,1,100.003,1,92162,4
Beyoncé,"You Don't Love Me (No, No, No) - Homecoming Live",HOMECOMING: THE LIVE ALBUM,False,"pop, r&b",2019-04-17,6u0WV2PHrzRjLO8BtRpme7,0.496,0.554,0.485,-9.339,0.000688,0.0,0.648,0.0299,10,80.108,0,71916,4
Beyoncé,Hold Up - Homecoming Live,HOMECOMING: THE LIVE ALBUM,False,"pop, r&b",2019-04-17,7oGFmPGaF5txE4cjL4HyR4,0.519,0.922,0.636,-11.539,0.149,1.06e-06,0.672,0.504,0,81.167,1,46475,3
Beyoncé,Countdown - Homecoming Live,HOMECOMING: THE LIVE ALBUM,False,"pop, r&b",2019-04-17,2k0mXTwotQpZKIOIhGwekv,0.57,0.444,0.805,-9.217,0.00413,0.0,0.557,0.293,0,167.333,1,103235,4
Beyoncé,Check On It - Homecoming Live,HOMECOMING: THE LIVE ALBUM,False,"pop, r&b",2019-04-17,632ikkYPSHSHA5udZeuKvk,0.519,0.693,0.884,-8.077,0.00294,0.0,0.943,0.369,7,167.346,1,76214,4
"Beyoncé, JAY-Z",Deja Vu (feat. Jay-Z) - Homecoming Live,HOMECOMING: THE LIVE ALBUM,False,"pop, r&b",2019-04-17,7Id9WVdUZXIK1jchXxvRH3,0.772,0.154,0.684,-8.742,0.00534,2.66e-06,0.7,0.14,6,105.975,1,289790,4
Beyoncé,The Bzzzz Drumline - Interlude - Homecoming Live,HOMECOMING: THE LIVE ALBUM,False,"pop, r&b",2019-04-17,5IIK4FDTsmQwkNqVuKJgi7,0.555,0.237,0.84,-11.977,0.0335,0.0644,0.373,0.302,1,134.519,1,190104,4
Beyoncé,Run the World (Girls) - Homecoming Live,HOMECOMING: THE LIVE ALBUM,True,"pop, r&b",2019-04-17,6Ssx5QXWAsjruGKCQwf9Jp,0.663,0.49,0.891,-8.774,0.00269,0.000154,0.778,0.18,5,126.548,0,233376,4
"Beyoncé, Kelly Rowland, Michelle Williams",Lose My Breath (feat. Kelly Rowland & Michelle Williams) - Homecoming Live,HOMECOMING: THE LIVE ALBUM,False,"pop, r&b",2019-04-17,716IzgeD9yjfCiZuG9aG4i,0.721,0.416,0.892,-8.606,0.0351,0.000212,0.575,0.206,8,118.982,1,90816,4
